erro Natura	Correção
-------------------------------------------
#caixa-dos-pirolitos	caixa dos pirolitos
#cor-de-laranja	cor de laranja                 [ALB] Corrigido
assumpção	assunção
#abreação	ab-reação                      [ALB] Corrigido
alcalinoterroso	alcalino-terroso
#anjo-da-guarda	anjo da guarda                 [ALB] Corrigido
#autocorrecção	autocorreção                   [ALB] Corrigido
#autocorrectivo	autocorretivo                  [ALB] Corrigido
#auto-de-fé	auto de fé                     [ALB] Corrigido
#bicha-de-sete-cabeças	bicha de sete cabeças  [ALB] Corrigido
#Bicho-de-sete-cabeças	bicho de sete cabeças  [ALB] não existe com maiúscula no nosso dic
#bicho-do-buraco	bicho do buraco        [ALB] Corrigido
#bicho-do-mato	bicho do mato                  [ALB] Corrigido
#bico-de-obra	bico de obra                   [ALB] Corrigido
#bilhete-de-visita	bilhete de visita      [ALB] REMOVIDO (nao acho que faça sentido)
bissectar	bissetar – bissectar (PB) --> a priberam diz que é bissectar :S
#boca-de-fogo	boca de fogo                   [ALB] Corrigido
#boca-de-incêndio	boca de incêndio       [ALB] Corrigido
#boca-de-sino	boca de sino                   [ALB] Corrigido
#bota-de-elástico	bota de elástico       [ALB] Corrigido
#cabeça-de-alho-chocho	cabeça de alho chocho  [ALB] Corrigido
#cabeça-de-série	cabeça de série        [ALB] Corrigido
#cabeça-de-vento	cabeça de vento        [ALB] Corrigido
#cabeça-no-ar	cabeça no ar                   [ALB] Corrigido
#caixa-de-ar	caixa de ar                    [ALB] Corrigido
#caixa-de-óculos	caixa de óculos        [ALB] Corrigido
#câmara-de-ar	câmaras de ar                  [ALB] Corrigido
#caminho-de-ferro	caminho de ferro       [ALB] Corrigido
#camisa-de-forças	camisa de forças       [ALB] Corrigido
#canto-de-cisne	canto de cisne                 [ALB] Corrigido
caraterologia	caraterologia (PB) caracterologia (PE)
#carreira-de-tiro	carreira de tiro       [ALB] Corrigido
#cartão-de-visita	cartão de visita       [ALB] Corrigido
casca-de-noz	casca de noz
cavalo-de-batalha	cavalo de batalha
céu-da-boca	céu da boca
chapéu-de-chuva	chapéu de chuva
chapéu-de-sol	chapéu de sol
colete-de-forças	colete de forças
conto-do-vigário	conto do vigário
testa-de-ferro	testa de ferro
toucinho-do-céu	toucinho do céu
turbo-reator	turborreator
unhas-de-fome	unhas de fome
vilacondense	vila-condense
vilafranquense	vila-franquense
vilanovense	vila-novense
ar-condicionado	ar condicionado
não-te-rales	não te rales
landegrave	apenas atestadas landgrave e landegrávio
energitismo	energetismo
fora-da-lei	fora da lei
frente-a-frente	frente a frente
géiser	geiser ou guéiser
# felcro	velcro ? feltro ?        [ALB] Removido
# ferente	                         [ALB] Removido
abstusa	abstrusa
amiudamente	amiudadamente ou miudamente.
#comunial	comunal?                 [ALB] Removido
germinibilidade	germinabilidade
há-de	há de
hão-de	hão de
lúgrebe	lúgubre
macanicismo	mecanicismo
maleficientíssimo	maleficentíssimo?
percursionista	percussionista
pusilâmine	pusilânime
quarto-de-hora	quarto de hora
telequinesia	telecinesia
tempestoso	tempestuoso
abulíco	abúlico
além-fronteira	apenas atestado além-fronteiras
alucinogéno	alucinogénio
antimonóxido	antimonióxido (antimónio+óxido)
aracnoídeo	aracnóideo
arborícula	grafia correta arborícola
aterraplanar	apenas temos atestado aterraplenar
#boite	boîte                             [ALB] Removido já há tempos
cavernícula	cavernícola
cineastra	cineasta
coderniz	codorniz
conetar	conectar (PE)
conglumerativo	conglomerativo
coreáceo	coriáceo
correlegionário	correligionário
dendolatria	dendrolatria
descompustura	descompostura
disfrutar	desfrutar
#endócrinologista	endocrinologista  [ALB] corrigido
gadanheirro	gadanheiro
haraquiri	haraquíri
hebraista	hebraísta
imprescritabilidade	imprescritibilidade
mega-hertz	megahertz
micrólite	microlite
oitavos-de-final	oitavos de final
quilo-hertz	quilohertz
silíqua	síliqua
termistor	termístor
#torrão-de-açucar	torrão-de-açúcar   [ALB] Adicionado o acento, embora me pareça que isto é erro deles, a nova versão não deve ter hífen.
dia-a-dia	dia a dia
extra-uterino	extrauterino
farinha-de-pau	farinha de pau
fim-de-semana	fim de semana
fio-de-prumo	fio de prumo
fogo-de-artifício	fogo de artifício
fora-de-jogo	fora de jogo
gaita-de-foles	gaita de foles
interrelacionar	inter-relacionar
língua-de-gato	língua de gato
lua-de-mel	lua de mel
maçã-de-adão	maçã de Adão
mão-de-obra	mão de obra
mesa-de-cabeceira	mesa de cabeceira
mestre-de-cerimónias	mestre de cerimónias
mestre-de-obras	mestre de obras
#mini-saia	minissaia                [ALB] Corrigido
mulher-a-dias	mulher a dias
onomatopéico	onomatopeico
pão-de-ló	pão de ló
pau-de-cabeleira	pau de cabeleira
paz-de-alma	paz de alma
pé-de-cabra	pé de cabra
pé-de-vento	pé de vento
pó-de-arroz	pó de arroz
ponta-de-lança	ponta de lança
quarto-de-final	quarto de final
quartos-de-final	quartos de final
rés-do-chão	rés do chão
rosa-dos-ventos	rosa dos ventos
fins-de-semana	fins de semana, plural de fim de semana
terferência	não atestado
#calenda	plurale tantum – apenas calendas - corrigido para "calendas/#nfp"
autos-de-fé	autos de fé
co-orientador	coorientador
